,Empresa:       Domicilio:             CIF:   ,,,,,,,Hotel Ses Roses,,,,,,,,,,,,," Trabajador:
 NIF:
 NAF:
 Grupo profesional:
 Grupo cotiz.:",,,,,,,,,,,,,,,,aitor,,,,
,,,,,,,,C/Josep Mª Quadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90080074D,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/10000000/19,,,,
,,,,,,,,C77891122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peón de catering,,,,
,CCC,,,,,,,0099182736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
, Periodo de liquidación:	del ______ de ___________ al ______ de ______________ de ______ Total días: __________,,,,,,,,,04,,,,,MAYO,,,,,,,,,,,,,,,,,,,2021,,,,,,22,
,,,,,,,,,,,,,,,,,,26,,,,,,,,,MAYO,,,,,,,,,,,,,,
,I. Devengos,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPORTES,,,,,,,,,,,,,
,1.- Percepciones salariales (Sujetas a cotización),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549.,,,,,,,,,,,
,"Salario base .........................................................................
Complementos salarales:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,"Horas extras fuerza mayor.............................................................
Horas extras resto..........................................................................
Horas complementarias(contratos a tiempo parcial)......................
Gratificaciones extraordinarias.......................................................
Salario en especie..........................................................................",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,2.- Percepciones no salariales (Excluidas de cotización),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indemnizaciones o suplidos:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,Prestaciones e indemnizaciones de la seguridad social:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,"Indemnizaciones por traslados, suspensiones o despidos:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,Otras percepciones salariales:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,A.- TOTAL DEVENGADO...................,,,,,,,,,,,,,,,,,
,II. Deducciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Aportaciones del trabajador a las cotizaciones a la S.S y conceptos de recaudación conjunta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Contingencias comunes............
Desempleo................................
Formación profesional...............
Horas extras fuerza mayor........
Horas extras resto.....................",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"%
%
%
%
%
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,72.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.55,,,,,,,,,,,,,,24.01,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,72.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30.98,,,,,,,,,,,,,,,,
,,,,,,,TOTAL APORTACIONES............................,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.14299999999997,,,,,
2. Impuesto sobre la renta de las personas físicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.39,,,,,
,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,
,3. Anticipos....................................................................,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,4. Valor de los productos recibidos en especie..............,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,5. Otras deducciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,372.53,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,B. Total a deducir...................................,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Firma y sello
de la empresa",,,B. LIQUIDO TOTAL A PERCIBIR (A-B) ...................,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.47,,,
,,,,,,,,,,,,,,,,,de,,,,,,,,,,,,,,,,de,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,RECIBI,,,,,,,,,,,,,,,,,
,DETERMINACION DE LAS BASES DE COTIZA.  A LA S.S Y CONCEPTOS DE RECAUDACION Y DE LA BASE SUJETA A RETENCION DEL IRPF:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Base de cotización por contingencias comunes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,BASE,,,,,,,,,TIPO,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APORTACIÓN
EMPRESA"
,,,"Remuneración mensual sujeta a cotización........
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1549.0,,,,,,,,,,,,,,,,,,,,,,
